time,open,high,low,close,volume
14.09.2020 20:00:00.000,10653,10696,10642,10673,25358.9991
14.09.2020 21:00:00.000,10673,10705,10662,10705,29634.0007
14.09.2020 22:00:00.000,10705,10730,10626,10634,27906.0006
14.09.2020 23:00:00.000,10635,10667,10610,10658,33383.0006
15.09.2020 00:00:00.000,10658,10687,10636,10665,36419.9989
15.09.2020 01:00:00.000,10664,10708,10642,10704,23887.9994
15.09.2020 02:00:00.000,10704,10814,10687,10745,50296.9995
15.09.2020 03:00:00.000,10744,10757,10723,10740,33489.0001
15.09.2020 04:00:00.000,10740,10767,10696,10714,27520.9993
15.09.2020 05:00:00.000,10714,10744,10693,10725,21447.9994
15.09.2020 06:00:00.000,10725,10726,10692,10718,30263.9995
15.09.2020 07:00:00.000,10718,10742,10695,10726,24320.9992
15.09.2020 08:00:00.000,10726,10743,10607,10626,43320.9985
15.09.2020 09:00:00.000,10626,10684,10610,10681,37413.9994
15.09.2020 10:00:00.000,10681,10851,10653,10833,43474.9983
15.09.2020 11:00:00.000,10833,10858,10770,10813,58511.9985
15.09.2020 12:00:00.000,10813,10917,10813,10895,67905.0013
15.09.2020 13:00:00.000,10895,10901,10821,10823,72664.9985
15.09.2020 14:00:00.000,10823,10864,10726,10749,59342.0006
15.09.2020 15:00:00.000,10749,10795,10735,10772,47729.0004
15.09.2020 16:00:00.000,10772,10807,10687,10765,50852.0007
15.09.2020 17:00:00.000,10764,10800,10729,10784,34577.0009
15.09.2020 18:00:00.000,10784,10793,10734,10770,27141.9995
15.09.2020 19:00:00.000,10770,10770,10732,10764,30424.0007
15.09.2020 20:00:00.000,10764,10852,10753,10847,35657.9982
15.09.2020 21:00:00.000,10847,10862,10804,10843,28160.0002
15.09.2020 22:00:00.000,10843,10851,10739,10756,37585.9998
15.09.2020 23:00:00.000,10761,10776,10741,10766,39287.9993
16.09.2020 00:00:00.000,10766,10774,10649,10701,63311.0031
16.09.2020 01:00:00.000,10701,10733,10655,10719,47476.0011
16.09.2020 02:00:00.000,10719,10722,10681,10719,35677.0009
16.09.2020 03:00:00.000,10719,10764,10698,10763,38320.0012
16.09.2020 04:00:00.000,10763,10799,10747,10774,32857.0008
16.09.2020 05:00:00.000,10774,10810,10749,10761,38113.0017
16.09.2020 06:00:00.000,10761,10837,10748,10819,31497.0016
16.09.2020 07:00:00.000,10821,10926,10805,10906,48966.0017
16.09.2020 08:00:00.000,10904,10914,10856,10886,39034.9999
16.09.2020 09:00:00.000,10886,10886,10841,10857,30627.9995
16.09.2020 10:00:00.000,10857,10912,10817,10833,49288.9993
16.09.2020 11:00:00.000,10833,10899,10832,10885,30406.0001
16.09.2020 12:00:00.000,10885,10938,10852,10917,51421.0016
16.09.2020 13:00:00.000,10917,10938,10885,10906,40304.0014
16.09.2020 14:00:00.000,10906,10920,10848,10874,43030.0012
16.09.2020 15:00:00.000,10875,11004,10871,10991,52797.9992
16.09.2020 16:00:00.000,10991,11076,10978,11057,58855.0009
16.09.2020 17:00:00.000,11057,11064,10984,11024,40826.0003
16.09.2020 18:00:00.000,11024,11070,10949,10991,56065.999
16.09.2020 19:00:00.000,10995,11008,10948,10964,48537.001
16.09.2020 20:00:00.000,10964,11034,10956,10978,33817.0007
16.09.2020 21:00:00.000,10977,11010,10958,10997,19483
16.09.2020 22:00:00.000,10997,11025,10976,11003,41062.9995
16.09.2020 23:00:00.000,11003,11015,10928,10935,41159.0002
17.09.2020 00:00:00.000,10935,11026,10916,10984,57149.9988
17.09.2020 01:00:00.000,10984,11016,10943,10944,40803.0003
17.09.2020 02:00:00.000,10944,10944,10895,10913,41641.0007
17.09.2020 03:00:00.000,10913,10920,10855,10855,37647.0014
17.09.2020 04:00:00.000,10855,10894,10837,10888,41207.0006
17.09.2020 05:00:00.000,10888,10915,10872,10896,25427.0006
17.09.2020 06:00:00.000,10896,10911,10839,10850,38040.0009
17.09.2020 07:00:00.000,10850,10881,10836,10869,33364.0017
17.09.2020 08:00:00.000,10869,10891,10848,10851,23972.0009
17.09.2020 09:00:00.000,10851,10877,10843,10866,32244.0006
17.09.2020 10:00:00.000,10866,10867,10771,10806,46137.9997
17.09.2020 11:00:00.000,10806,10866,10781,10863,39618.0004
17.09.2020 12:00:00.000,10863,10865,10784,10794,37142.0011
17.09.2020 13:00:00.000,10793,10801,10733,10798,42454.0006
17.09.2020 14:00:00.000,10798,10850,10752,10819,55390.0003
17.09.2020 15:00:00.000,10819,10858,10818,10826,43910.0005
17.09.2020 16:00:00.000,10825,10837,10775,10824,38483.9997
17.09.2020 17:00:00.000,10824,10852,10823,10845,24650
17.09.2020 18:00:00.000,10845,10902,10845,10892,35555.0013
17.09.2020 19:00:00.000,10892,10912,10876,10903,30897.9992
17.09.2020 20:00:00.000,10903,10920,10900,10920,28138.0005
17.09.2020 21:00:00.000,10920,10956,10910,10941,20325.9997
17.09.2020 22:00:00.000,10941,10948,10890,10904,30008.9996
17.09.2020 23:00:00.000,10904,10926,10902,10926,21696.9997
18.09.2020 00:00:00.000,10926,10941,10872,10889,25769.0009
18.09.2020 01:00:00.000,10889,10911,10876,10884,17285.0005
18.09.2020 02:00:00.000,10885,10917,10884,10902,21073.0005
18.09.2020 03:00:00.000,10902,10919,10902,10907,21805.9998
18.09.2020 04:00:00.000,10907,10908,10867,10884,37489.0007
18.09.2020 05:00:00.000,10884,10910,10878,10910,32809.9988
18.09.2020 06:00:00.000,10910,10962,10885,10948,24074.9996
18.09.2020 07:00:00.000,10948,10950,10926,10938,18091.0006
18.09.2020 08:00:00.000,10937,10948,10912,10940,21772.9993
18.09.2020 09:00:00.000,10940,11020,10939,10993,26018.9995
18.09.2020 10:00:00.000,10993,10996,10955,10956,17742.0005
18.09.2020 11:00:00.000,10956,10983,10952,10957,21005.9993
18.09.2020 12:00:00.000,10957,10977,10938,10970,25068
18.09.2020 13:00:00.000,10970,10983,10896,10900,31941.0004
18.09.2020 14:00:00.000,10900,10937,10899,10930,32400.9992
18.09.2020 15:00:00.000,10931,10931,10857,10881,49421.9996
18.09.2020 16:00:00.000,10881,10881,10818,10865,47758.0018
18.09.2020 17:00:00.000,10866,10877,10801,10817,48778.9996
18.09.2020 18:00:00.000,10817,10858,10802,10845,36031.9987
18.09.2020 19:00:00.000,10845,10862,10827,10849,29644.9997
18.09.2020 20:00:00.000,10850,10885,10837,10864,34433.9982
18.09.2020 21:00:00.000,10864,10922,10861,10921,49398.0013
18.09.2020 22:00:00.000,10921,10925,10900,10909,62987.9981
18.09.2020 23:00:00.000,10909,10914,10876,10911,54301.9995
19.09.2020 00:00:00.000,10911,10952,10911,10951,65819.0027
19.09.2020 01:00:00.000,10951,10952,10919,10925,75119.0037
19.09.2020 02:00:00.000,10925,10949,10924,10949,45595.9998
19.09.2020 03:00:00.000,10949,10954,10927,10949,23347.9999
19.09.2020 04:00:00.000,10951,10953,10929,10941,17140.9994
19.09.2020 05:00:00.000,10941,10943,10903,10911,49051.0017
19.09.2020 06:00:00.000,10911,10928,10909,10922,32402.0013
19.09.2020 07:00:00.000,10922,10935,10888,10890,18364.9994
19.09.2020 08:00:00.000,10890,10914,10870,10914,21789.9997
19.09.2020 09:00:00.000,10914,10945,10907,10933,10723.9997
19.09.2020 10:00:00.000,10933,10971,10918,10971,16472.0006
19.09.2020 11:00:00.000,10971,11127,10959,11123,37370.9984
19.09.2020 12:00:00.000,11123,11157,11042,11084,46142.9991
19.09.2020 13:00:00.000,11083,11107,11063,11089,28405.9998
19.09.2020 14:00:00.000,11089,11089,11037,11062,27040.9994
19.09.2020 15:00:00.000,11063,11084,11038,11075,15678.9999
19.09.2020 16:00:00.000,11075,11094,11037,11042,23621.0003
19.09.2020 17:00:00.000,11042,11077,11040,11050,22332.9999
19.09.2020 18:00:00.000,11050,11055,10997,11030,31199.0008
19.09.2020 19:00:00.000,11030,11056,11019,11040,21454.9992
19.09.2020 20:00:00.000,11040,11074,11025,11073,23597.0002
19.09.2020 21:00:00.000,11065,11071,11011,11031,17015.0008
19.09.2020 22:00:00.000,11026,11049,11011,11043,28283
19.09.2020 23:00:00.000,11046,11066,11026,11063,25928
20.09.2020 00:00:00.000,11063,11063,11028,11039,25543.0005
20.09.2020 01:00:00.000,11038,11039,10903,10921,44938.0018
20.09.2020 02:00:00.000,10921,10942,10898,10900,36228.0011
20.09.2020 03:00:00.000,10900,10932,10889,10928,35734.0015
20.09.2020 04:00:00.000,10928,10956,10916,10949,25857.9999
20.09.2020 05:00:00.000,10949,10949,10922,10934,15046.9998
20.09.2020 06:00:00.000,10935,10949,10922,10948,14810.9999
20.09.2020 07:00:00.000,10948,10971,10931,10943,20379.9997
20.09.2020 08:00:00.000,10943,10958,10931,10934,13510
20.09.2020 09:00:00.000,10934,10946,10909,10943,27811.0001
20.09.2020 10:00:00.000,10943,10962,10926,10962,15743.0004
20.09.2020 11:00:00.000,10962,10962,10931,10935,15736.0006
20.09.2020 12:00:00.000,10935,10937,10824,10835,42775.0014
20.09.2020 13:00:00.000,10835,10847,10786,10843,40686.9985
20.09.2020 14:00:00.000,10843,10848,10816,10821,23685.9992
20.09.2020 15:00:00.000,10821,10855,10811,10818,26102.9992
20.09.2020 16:00:00.000,10819,10839,10748,10837,48227.001
20.09.2020 17:00:00.000,10837,10880,10828,10877,43760.0017
20.09.2020 18:00:00.000,10877,10885,10853,10872,33488.0017
20.09.2020 19:00:00.000,10872,10880,10841,10854,31023.9997
20.09.2020 20:00:00.000,10854,10857,10824,10836,36563.0016
20.09.2020 21:00:00.000,10830,10872,10800,10853,23083.9998
20.09.2020 22:00:00.000,10848,10864,10811,10853,30043.0004
20.09.2020 23:00:00.000,10853,10919,10853,10899,36169.9983
21.09.2020 00:00:00.000,10899,10956,10877,10938,43917.9987
21.09.2020 01:00:00.000,10938,10959,10925,10925,29242.9999
21.09.2020 02:00:00.000,10925,10947,10923,10926,25276.9999
21.09.2020 03:00:00.000,10926,10946,10906,10944,27699.9995
